date,v2.9_final,risk_strategy,gold,defensive,benchmark
2021-03-04,1.1799203282794182,1.2813988568246915,1.0365781710914452,1.0126318310168325,137601.55552353387
2021-03-05,1.1739148063230582,1.274367969428222,1.0271386430678466,1.0127515640122526,137134.86719446833
2021-03-08,1.1682637359476542,1.259579506822452,1.0380530973451327,1.012871297007673,132372.3271279333
2021-03-09,1.1601531136084853,1.2464528685395178,1.0342182890855456,1.0131207407481317,129531.39123934023
2021-03-10,1.163715813724429,1.2485907091660902,1.0448377581120942,1.0130608742504215,130381.20176283634
2021-03-11,1.1761406701047052,1.2670353575912043,1.0539823008849556,1.0133801622382088,133628.0600852755
2021-03-12,1.1769230944206521,1.2742696294481437,1.03952802359882,1.0132903624916436,134101.3409407092
2021-03-15,1.1758639712534567,1.2684177285404512,1.0489675516224188,1.0134899174840106,131213.26718571302
2021-03-16,1.1800518796713233,1.275171135324107,1.0507374631268436,1.0136395837282859,132355.05106081045
2021-03-17,1.1815062431233725,1.275958652893427,1.0551622418879056,1.0137393612244694,132915.18128535504
2021-03-18,1.1864464964855392,1.2815690611952695,1.0631268436578172,1.0139089829679815,133981.1901933434
2021-03-19,1.1751807764930862,1.263015026228128,1.0587020648967551,1.0140287159634016,130471.85551475253
2021-03-22,1.179785443089387,1.2734379942764473,1.0530973451327432,1.0141584267084403,131776.3158409028
2021-03-23,1.1775974457978324,1.267597219450063,1.0575221238938053,1.0144477814473725,130528.00924725596
2021-03-24,1.1726326090265418,1.2594361488432175,1.055457227138643,1.014637358690121,128428.79771862108
2021-03-25,1.1715290089802233,1.256066804593421,1.0587020648967551,1.01488680243058,128367.87547890274
2021-03-26,1.1770459030284321,1.2671534623446628,1.0557522123893806,1.0147371361863047,131277.00362641065
2021-03-29,1.1795732693676215,1.2715220766103381,1.0557522123893806,1.0151362461710385,131508.57588662315
2021-03-30,1.1781912219988082,1.27416885090152,1.0430678466076695,1.0150464464244733,132755.47537978034
2021-03-31,1.1742197953126514,1.2718684797024815,1.0309734513274336,1.015206090418367,131547.2450926719
2021-04-01,1.1848857255807081,1.2827654196771419,1.051622418879056,1.01488680243058,133173.64479936962
2021-04-02,1.194906096299522,1.295136947498497,1.0654867256637168,1.0150564241740918,134496.84040796533
2021-04-06,1.1926712921459273,1.2935121936376137,1.05929203539823,1.0152859124153137,133944.0323174502
2021-04-07,1.1892583377204722,1.2854261116955805,1.0640117994100295,1.0152759346656957,132990.35693188515
2021-04-08,1.1948452353098669,1.2944948146807285,1.0660766961651917,1.0156650669008114,133210.95901976168
2021-04-09,1.1903746823660295,1.2844012301007899,1.0710914454277285,1.0156451114015745,131207.87330050275
