variant,description,full_ann_return,full_ann_vol,full_max_drawdown,full_sharpe,full_calmar,full_ann_bench,full_excess,oos_2025_ann_return,oos_2025_ann_vol,oos_2025_max_drawdown,oos_2025_sharpe,oos_2025_calmar,oos_2025_ann_bench,oos_2025_excess,rolling_windows,rolling_ann_mean,rolling_excess_mean,rolling_mdd_mean,rolling_sharpe_mean,rolling_positive_excess_rate,family_score
sweep_tvol008_max080_min035_gs050,V2.7目标波动扫描：目标波动8%，风险仓35%-80%,0.06978111738959969,0.09301003172565063,-0.0988972744162675,0.4814654565616044,0.7055919164757232,0.004793629881378436,0.06498748750822125,0.22267635801352603,0.09664859235875989,-0.06271000399413285,2.045310264631178,3.5508905091819107,0.21334541399075846,0.009330944022767573,13,0.04507730161009445,0.07534320719976446,-0.026985291427012635,0.513414120121369,0.6153846153846154,4
no_gold_sweep_tvol012_max090_min045_gs075,风险策略不含黄金；V2.7目标波动扫描：目标波动12%，风险仓45%-90%,0.07957232727382468,0.11413362202581508,-0.11095893764221998,0.4781441814006512,0.717133103152092,0.004793629881378436,0.07477869739244625,0.19237819273637657,0.11169989452186357,-0.09243628659562464,1.4984633016248265,2.0811977614155106,0.21334541399075846,-0.020967221254381885,13,0.03464263168352297,0.06490853727319303,-0.03419126101137252,0.21259258219480928,0.6153846153846154,4
no_gold_sweep_tvol010_max080_min045_gs050,风险策略不含黄金；V2.7目标波动扫描：目标波动10%，风险仓45%-80%,0.07352683858730646,0.10155473421819403,-0.09889813818637316,0.47783925546045736,0.743460290918171,0.004793629881378436,0.06873320870592803,0.1877374629325106,0.10082844932777255,-0.08081514949391111,1.6140034287692413,2.3230478952050366,0.21334541399075846,-0.02560795105824787,13,0.03476793159042353,0.06503383718009358,-0.030905027623478038,0.25955673307153404,0.6153846153846154,4
no_gold_sweep_tvol008_max080_min035_gs075,风险策略不含黄金；V2.7目标波动扫描：目标波动8%，风险仓35%-80%,0.07393795441953022,0.10251755898345874,-0.09927863584898855,0.4773616822794852,0.7447519175424235,0.004793629881378436,0.06914432453815178,0.22691178251163202,0.10498264244527274,-0.07318016620937173,1.9232872959631233,3.1007278920688326,0.21334541399075846,0.013566368520873562,13,0.04646814941354777,0.07673405500321777,-0.03004127024874008,0.45209551746705856,0.6153846153846154,4
sweep_tvol012_max090_min045_gs075,V2.7目标波动扫描：目标波动12%，风险仓45%-90%,0.07551484832862365,0.10610981858907972,-0.11095796928746049,0.47606196109190574,0.6805716508111841,0.004793629881378436,0.07072121844724522,0.23715470186972842,0.10552492837289813,-0.07224011866843272,2.0104699916973923,3.2828670030045175,0.21334541399075846,0.023809287878969965,13,0.04456848398328989,0.07483438957295993,-0.030604137810793665,0.46217646015653835,0.6153846153846154,4
no_gold_static_70risk_15gold_15cash,风险策略不含黄金；70%风险策略 + 15%黄金 + 15%现金,0.07258310245249788,0.09999888827788994,-0.08698946431777788,0.4758363145024948,0.8343895783441928,0.004793629881378436,0.06778947257111945,0.21255160097901027,0.09359537754852486,-0.06809492123864347,2.0038553814452373,3.121401671559442,0.21334541399075846,-0.0007938130117481901,13,0.03782835386606544,0.06809425945573547,-0.03075720573042503,0.3826900597566525,0.6153846153846154,4
no_gold_sweep_static_r070_g015_c015,风险策略不含黄金；V2.7静态扫描：70%风险策略 + 15%黄金 + 15%现金,0.07258310245249766,0.09999888827788998,-0.0869894643177781,0.4758363145024924,0.834389578344188,0.004793629881378436,0.06778947257111922,0.21255160097901116,0.09359537754852476,-0.06809492123864336,2.003855381445249,3.12140167155946,0.21334541399075846,-0.0007938130117473019,13,0.03782835386606528,0.06809425945573531,-0.03075720573042504,0.38269005975665327,0.6153846153846154,4
no_gold_sweep_tvol014_max090_min025_gs075,风险策略不含黄金；V2.7目标波动扫描：目标波动14%，风险仓25%-90%,0.07930145395000676,0.1142701515198931,-0.11095893764221976,0.4752024323740702,0.7146918998603736,0.004793629881378436,0.07450782406862833,0.2034503347501384,0.11203348367675191,-0.09243628659562475,1.5928303654737523,2.2009790986104827,0.21334541399075846,-0.009895079240620053,13,0.0347946397760345,0.06506054536570455,-0.03405297574708126,0.21444842857501945,0.6153846153846154,4
no_gold_sweep_tvol014_max090_min035_gs075,风险策略不含黄金；V2.7目标波动扫描：目标波动14%，风险仓35%-90%,0.07930145395000676,0.1142701515198931,-0.11095893764221976,0.4752024323740702,0.7146918998603736,0.004793629881378436,0.07450782406862833,0.2034503347501384,0.11203348367675191,-0.09243628659562475,1.5928303654737523,2.2009790986104827,0.21334541399075846,-0.009895079240620053,13,0.0347946397760345,0.06506054536570455,-0.03405297574708126,0.21444842857501945,0.6153846153846154,4
no_gold_sweep_tvol014_max090_min045_gs075,风险策略不含黄金；V2.7目标波动扫描：目标波动14%，风险仓45%-90%,0.07927923365546619,0.11449552986670077,-0.11095893764221976,0.474072950434482,0.7144916429454037,0.004793629881378436,0.07448560377408775,0.20345033475013774,0.11203348367675198,-0.09243628659562475,1.5928303654737455,2.2009790986104756,0.21334541399075846,-0.009895079240620719,13,0.03471785889787618,0.0649837644875462,-0.03419223014651348,0.2127889388577563,0.6153846153846154,4
