date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2025-04-11,138.73,138.689,138.809,138.607,86298,1220245213.0,0.15,0.03,0.047,24.67
2025-04-14,138.647,138.567,138.654,138.546,194777,2751360169.0,0.08,-0.09,-0.122,55.67
2025-04-15,138.573,138.57,138.624,138.555,14094,199086331.0,0.05,0.0,0.003,4.03
2025-04-16,138.574,138.688,138.719,138.554,176795,2499038307.0,0.12,0.09,0.118,50.53
2025-04-17,138.681,138.6,138.73,138.585,126369,1785632175.0,0.1,-0.06,-0.088,36.12
2025-04-18,138.599,138.541,138.625,138.524,178050,2514789067.0,0.07,-0.04,-0.059,50.89
2025-04-21,138.541,138.423,138.56,138.394,7962,112369628.0,0.12,-0.09,-0.118,2.28
2025-04-22,138.427,138.474,138.497,138.427,45982,648966577.0,0.05,0.04,0.051,13.14
2025-04-23,138.452,138.345,138.452,138.304,9591,135259736.0,0.11,-0.09,-0.129,2.74
2025-04-24,138.384,138.227,138.414,138.22,117553,1657710810.0,0.14,-0.09,-0.118,33.6
2025-04-25,138.304,138.353,138.396,138.258,12027,169593657.0,0.1,0.09,0.126,3.44
2025-04-28,138.362,138.315,138.387,138.307,102934,1451560136.0,0.06,-0.03,-0.038,29.42
2025-04-29,138.342,138.5,138.504,138.342,74728,1054460936.0,0.12,0.13,0.185,21.36
2025-04-30,138.516,138.607,138.624,138.465,20061,283278065.0,0.11,0.08,0.107,5.73
2025-05-06,138.594,138.532,138.594,138.491,187147,2642918335.0,0.07,-0.05,-0.075,53.49
2025-05-07,138.573,138.494,138.619,138.476,44691,631050549.0,0.1,-0.03,-0.038,12.77
2025-05-08,138.596,138.774,138.783,138.594,48415,684567461.0,0.14,0.2,0.28,13.84
2025-05-09,138.786,138.734,138.874,138.713,17149,242591105.0,0.12,-0.03,-0.04,4.9
2025-05-12,138.676,138.669,138.769,138.599,15726,222325869.0,0.12,-0.05,-0.065,4.49
2025-05-13,138.614,138.575,138.634,138.541,21606,305174618.0,0.07,-0.07,-0.094,6.18
2025-05-14,138.573,138.459,138.624,138.445,13478,190289071.0,0.13,-0.08,-0.116,3.85
2025-05-15,138.455,138.361,138.494,138.355,10882,153524008.0,0.1,-0.07,-0.098,3.11
2025-05-16,138.351,138.267,138.351,138.226,10243,144356714.0,0.09,-0.07,-0.094,2.93
2025-05-19,138.267,138.336,138.361,138.267,11215,158124469.0,0.07,0.05,0.069,3.21
2025-05-20,138.404,138.383,138.455,138.325,10686,150735318.0,0.09,0.03,0.047,3.05
2025-05-21,138.334,138.368,138.394,138.334,6659,93920227.0,0.04,-0.01,-0.015,1.9
