date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2023-10-26,0.448,0.451,0.452,0.445,2310708,207075055.0,1.56,0.22,0.001,2.71
2023-10-27,0.448,0.461,0.463,0.447,4423779,403274127.0,3.55,2.22,0.01,5.19
2023-10-30,0.461,0.481,0.482,0.461,8283887,787672510.0,4.56,4.34,0.02,9.72
2023-10-31,0.483,0.48,0.487,0.475,3617181,347069785.0,2.49,-0.21,-0.001,4.24
2023-11-01,0.481,0.478,0.483,0.476,2711713,259727336.0,1.46,-0.42,-0.002,3.18
2023-11-02,0.479,0.473,0.481,0.47,2874879,273159128.0,2.3,-1.05,-0.005,3.37
2023-11-03,0.472,0.484,0.485,0.472,3940956,377429089.0,2.75,2.33,0.011,4.62
2023-11-06,0.487,0.493,0.496,0.485,5825978,572564176.0,2.27,1.86,0.009,6.84
2023-11-07,0.491,0.495,0.497,0.489,4719141,465741714.0,1.62,0.41,0.002,5.54
2023-11-08,0.494,0.496,0.501,0.492,4329896,429409089.0,1.82,0.2,0.001,5.08
2023-11-09,0.494,0.49,0.498,0.488,3209889,315581069.0,2.02,-1.21,-0.006,3.77
2023-11-10,0.487,0.487,0.494,0.486,2591867,253529082.0,1.63,-0.61,-0.003,3.04
2023-11-13,0.491,0.489,0.492,0.485,2533187,247005819.0,1.44,0.41,0.002,2.97
2023-11-14,0.488,0.493,0.494,0.486,3215413,316035801.0,1.64,0.82,0.004,3.77
2023-11-15,0.499,0.492,0.5,0.491,3604135,356703311.0,1.83,-0.2,-0.001,4.23
2023-11-16,0.491,0.483,0.491,0.482,3926448,381330039.0,1.83,-1.83,-0.009,4.61
2023-11-17,0.482,0.485,0.487,0.481,2920299,282547582.0,1.24,0.41,0.002,3.43
2023-11-20,0.487,0.483,0.488,0.479,2666681,257069325.0,1.86,-0.41,-0.002,3.13
2023-11-21,0.483,0.477,0.486,0.476,3127102,300361368.0,2.07,-1.24,-0.006,3.67
2023-11-22,0.477,0.469,0.477,0.469,3296114,311250034.0,1.68,-1.68,-0.008,3.87
2023-11-23,0.469,0.474,0.475,0.466,3227525,303616899.0,1.92,1.07,0.005,3.79
2023-11-24,0.473,0.466,0.473,0.466,2795164,261653602.0,1.48,-1.69,-0.008,3.28
2023-11-27,0.466,0.473,0.473,0.465,3669296,344546261.0,1.72,1.5,0.007,4.31
2023-11-28,0.472,0.473,0.475,0.469,2351872,221951889.0,1.27,0.0,0.0,2.76
2023-11-29,0.474,0.473,0.479,0.473,2662454,253310183.0,1.27,0.0,0.0,3.12
2023-11-30,0.473,0.472,0.473,0.468,1984412,186664571.0,1.06,-0.21,-0.001,2.33
2023-12-01,0.472,0.474,0.475,0.467,2668474,250960774.0,1.69,0.42,0.002,3.13
2023-12-04,0.475,0.469,0.476,0.469,2070759,195460951.0,1.48,-1.05,-0.005,2.43
2023-12-05,0.468,0.455,0.468,0.454,3001091,276127496.0,2.99,-2.99,-0.014,3.52
2023-12-06,0.454,0.455,0.459,0.454,2576361,234825035.0,1.1,0.0,0.0,3.02
2023-12-07,0.455,0.45,0.456,0.448,3122703,281028471.0,1.76,-1.1,-0.005,3.66
2023-12-08,0.451,0.455,0.457,0.449,3323073,301542635.0,1.78,1.11,0.005,3.9
2023-12-11,0.454,0.465,0.465,0.451,3636528,333345612.0,3.08,2.2,0.01,4.27
2023-12-12,0.464,0.464,0.467,0.461,2188863,202719284.0,1.29,-0.22,-0.001,2.57
2023-12-13,0.464,0.459,0.466,0.458,2392411,220879749.0,1.72,-1.08,-0.005,2.81
2023-12-14,0.461,0.457,0.464,0.457,2550744,234489751.0,1.53,-0.44,-0.002,2.99
2023-12-15,0.459,0.454,0.459,0.453,2118136,192832507.0,1.31,-0.66,-0.003,2.49
2023-12-18,0.451,0.447,0.452,0.446,2570834,230678010.0,1.32,-1.54,-0.007,3.02
2023-12-19,0.447,0.452,0.456,0.445,2411958,217386017.0,2.46,1.12,0.005,2.83
2023-12-20,0.454,0.447,0.454,0.446,1815326,163044368.0,1.77,-1.11,-0.005,2.13
2023-12-21,0.445,0.451,0.454,0.443,2803516,250685193.0,2.46,0.89,0.004,3.29
2023-12-22,0.45,0.445,0.451,0.443,3085605,275483455.0,1.77,-1.33,-0.006,3.62
2023-12-25,0.444,0.442,0.447,0.44,2442641,215709307.0,1.57,-0.67,-0.003,2.87
2023-12-26,0.441,0.431,0.441,0.429,3952579,342275270.0,2.71,-2.49,-0.011,4.64
2023-12-27,0.432,0.438,0.44,0.432,3251013,284140100.0,1.86,1.62,0.007,3.81
2023-12-28,0.438,0.447,0.449,0.435,3506677,311122349.0,3.2,2.05,0.009,4.11
2023-12-29,0.446,0.449,0.451,0.446,2667402,239145809.0,1.12,0.45,0.002,3.13
2024-01-02,0.449,0.441,0.449,0.441,2583247,228667444.0,1.78,-1.78,-0.008,3.03
2024-01-03,0.44,0.433,0.441,0.43,3690177,320165765.0,2.49,-1.81,-0.008,4.33
2024-01-04,0.432,0.426,0.433,0.423,3301481,281304498.0,2.31,-1.62,-0.007,3.87
2024-01-05,0.425,0.42,0.429,0.416,2856284,241016823.0,3.05,-1.41,-0.006,3.35
2024-01-08,0.419,0.405,0.419,0.405,4114560,336436532.0,3.33,-3.57,-0.015,4.83
2024-01-09,0.407,0.405,0.411,0.401,3488693,283683075.0,2.47,0.0,0.0,4.09
2024-01-10,0.403,0.4,0.407,0.397,3178528,254672116.0,2.47,-1.23,-0.005,3.73
2024-01-11,0.4,0.406,0.408,0.399,5396875,436681986.0,2.25,1.5,0.006,6.33
2024-01-12,0.405,0.399,0.406,0.398,2884801,231871081.0,1.97,-1.72,-0.007,3.38
2024-01-15,0.397,0.401,0.407,0.395,3453618,277299711.0,3.01,0.5,0.002,4.05
2024-01-16,0.4,0.4,0.403,0.394,2999016,238818749.0,2.24,-0.25,-0.001,3.52
2024-01-17,0.4,0.39,0.401,0.389,2569384,202776828.0,3.0,-2.5,-0.01,3.01
2024-01-18,0.388,0.398,0.398,0.382,4857832,377043538.0,4.1,2.05,0.008,5.7
2024-01-19,0.397,0.397,0.402,0.395,2692908,214497922.0,1.76,-0.25,-0.001,3.16
2024-01-22,0.396,0.381,0.397,0.379,3301001,256528645.0,4.53,-4.03,-0.016,3.87
2024-01-23,0.381,0.386,0.388,0.377,3518276,270075628.0,2.89,1.31,0.005,4.13
2024-01-24,0.387,0.385,0.389,0.371,4252174,322287145.0,4.66,-0.26,-0.001,4.99
2024-01-25,0.384,0.392,0.394,0.38,4461124,346244198.0,3.64,1.82,0.007,5.23
2024-01-26,0.389,0.379,0.389,0.378,5664654,433655107.0,2.81,-3.32,-0.013,6.65
2024-01-29,0.38,0.369,0.385,0.369,3372156,252845369.0,4.22,-2.64,-0.01,3.96
2024-01-30,0.366,0.354,0.369,0.353,4520335,325283128.0,4.34,-4.07,-0.015,5.3
2024-01-31,0.354,0.345,0.355,0.344,4829360,337074321.0,3.11,-2.54,-0.009,5.67
2024-02-01,0.343,0.35,0.357,0.341,4743373,331483130.0,4.64,1.45,0.005,5.57
2024-02-02,0.349,0.336,0.352,0.326,4604193,312665106.0,7.43,-4.0,-0.014,5.4
2024-02-05,0.332,0.332,0.34,0.314,5601332,367554607.0,7.74,-1.19,-0.004,6.57
2024-02-06,0.329,0.356,0.356,0.328,4808052,331150925.0,8.43,7.23,0.024,5.64
2024-02-07,0.356,0.364,0.368,0.354,3790073,274968704.0,3.93,2.25,0.008,4.45
2024-02-08,0.368,0.378,0.383,0.368,4144102,312067677.0,4.12,3.85,0.014,4.86
2024-02-19,0.388,0.383,0.388,0.375,3510209,267557600.0,3.44,1.32,0.005,4.12
2024-02-20,0.381,0.381,0.383,0.373,2774935,209221769.0,2.61,-0.52,-0.002,3.26
2024-02-21,0.377,0.382,0.389,0.375,4064668,311206663.0,3.67,0.26,0.001,4.77
2024-02-22,0.384,0.388,0.389,0.382,2802338,216261241.0,1.83,1.57,0.006,3.29
2024-02-23,0.39,0.389,0.392,0.384,2638717,204353042.0,2.06,0.26,0.001,3.1
2024-02-26,0.389,0.391,0.397,0.387,3374136,263948896.0,2.57,0.51,0.002,3.96
2024-02-27,0.39,0.409,0.41,0.387,4597427,368076524.0,5.88,4.6,0.018,5.39
2024-02-28,0.41,0.391,0.417,0.391,4705574,380681584.0,6.36,-4.4,-0.018,5.52
2024-02-29,0.39,0.417,0.417,0.389,7840216,640325520.0,7.16,6.65,0.026,9.2
2024-03-01,0.419,0.426,0.426,0.415,6569630,553979000.0,2.64,2.16,0.009,7.71
2024-03-04,0.428,0.427,0.43,0.419,4297408,366143334.0,2.58,0.23,0.001,5.04
2024-03-05,0.426,0.424,0.431,0.422,3558779,303884875.0,2.11,-0.7,-0.003,4.18
2024-03-06,0.423,0.419,0.424,0.413,2830255,236751363.0,2.59,-1.18,-0.005,3.32
2024-03-07,0.422,0.41,0.425,0.409,3516733,292294407.0,3.82,-2.15,-0.009,4.13
2024-03-08,0.412,0.42,0.421,0.409,3963283,329244581.0,2.93,2.44,0.01,4.65
2024-03-11,0.415,0.424,0.425,0.412,3680908,308028436.0,3.1,0.95,0.004,4.32
2024-03-12,0.424,0.426,0.434,0.422,3490709,298454892.0,2.83,0.47,0.002,4.1
2024-03-13,0.429,0.425,0.433,0.424,2882767,246845775.0,2.11,-0.23,-0.001,3.38
2024-03-14,0.422,0.418,0.423,0.413,2712938,226673528.0,2.35,-1.65,-0.007,3.18
2024-03-15,0.417,0.419,0.42,0.411,2207788,183127190.0,2.15,0.24,0.001,2.59
2024-03-18,0.42,0.43,0.43,0.419,3651614,310212727.0,2.63,2.63,0.011,4.28
2024-03-19,0.429,0.425,0.432,0.425,2450116,209701643.0,1.63,-1.16,-0.005,2.87
2024-03-20,0.425,0.424,0.427,0.419,2205948,186681498.0,1.88,-0.24,-0.001,2.59
2024-03-21,0.428,0.424,0.432,0.422,2909915,248241807.0,2.36,0.0,0.0,3.41
2024-03-22,0.424,0.419,0.429,0.419,3168122,267963037.0,2.36,-1.18,-0.005,3.72
2024-03-25,0.419,0.409,0.42,0.408,2808181,232551107.0,2.86,-2.39,-0.01,3.3
2024-03-26,0.41,0.404,0.414,0.402,3373122,274215080.0,2.93,-1.22,-0.005,3.96
2024-03-27,0.405,0.39,0.406,0.389,3147577,249572380.0,4.21,-3.47,-0.014,3.69
2024-03-28,0.391,0.396,0.403,0.389,3566346,282731079.0,3.59,1.54,0.006,4.18
2024-03-29,0.396,0.398,0.398,0.389,2407480,189229259.0,2.27,0.51,0.002,2.82
2024-04-01,0.4,0.403,0.404,0.398,2482896,199384559.0,1.51,1.26,0.005,2.91
2024-04-02,0.403,0.396,0.404,0.393,2620269,208047549.0,2.73,-1.74,-0.007,3.07
2024-04-03,0.396,0.392,0.398,0.388,3165556,248600022.0,2.53,-1.01,-0.004,3.71
2024-04-08,0.392,0.381,0.392,0.381,2650401,204399351.0,2.81,-2.81,-0.011,3.11
2024-04-09,0.381,0.386,0.386,0.378,2524033,193066627.0,2.1,1.31,0.005,2.96
